grant_year,grantee_name,grant_amount,grantee_location,grant_purpose,grantee_url,grantee_logo_path,grantor_program
2015,Adelante Mujeres,5000,Forest Grove,For its Early Childhood Education Program for immigrant Latino Families,http://www.adelantemujeres.org/,Adelante-Mujeres-logo2.png,
2015,Alpine Community Center,8500,Monroe,For unrestricted purposes,http://www.alpinecommunity.net/,copy-ACCLogo20151.jpg,
2015,Backpacks in Bend,5000,Bend,To support its mission to feed hungry kids,http://backpacksinbend.org/,,
2015,Cascade Youth and Family Center,5000,Bend,To support the development of a youth drop in center and its ongoing services,http://cascadeyouthandfamilycenter.org/,cyfc.png,
2015,Kemple Memorial Children’s Dental Clinic,5000,Bend,To support its efforts in providing children’s dental services,http://kempleclinic.com/,kemple.png,
2015,LaPine Community Kitchen,15000,LaPine,To support its operational and maintenance needs,http://lapinecommunitykitchen.org/,lapine.jpg,
2015,Meridian Park Medical Foundation,3800,Tualatin,"To purchase a new cast saw for serial casting, and other equipment, games and programs",http://www.legacyhealth.org/giving-and-support/the-office-of-philanthropy/meridian-park-medical-foundation.aspx,,
2015,Marion-Polk Food Share,10000,Salem,To manage the third year and expansion of its Youth Farm microenterprise program,http://www.marionpolkfoodshare.org/,MPFS_StandardLogo.png,
2015,Multnomah County Library Foundation,5000,Portland,To support its Books 2 U program,http://www.libraryfoundation.org/,TLFLogoHeader.gif,
2015,Oregon Public Broadcasting,10000,Portland,As a part of the 25th Anniversary Challenge Fund for 2015-2015,http://www.opb.org/,opb.png,
2015,Oregon Supported Living Program,10000,Eugene,"To replace a total of eight critically needed electric patient lifts, which are used multiple times a day in our group homes",http://www.oslp.org/,oregon_supported_living_program_logo.png,
2015,Pearl Buck Center,7500,Eugene,To support Pearl Buck Preschool,http://www.pearlbuckcenter.com/,pearl-buck.png,
2015,Strengthening Rural Families,5000,Philomath,For technology upgrades and training,http://www.ruralfamilies.org/,rural-families.jpg,
2015,Trio Talent Search Program (SWOCC) ,10000,Coos Bay,To support its program for low-income and first generation college bound students,http://www.socc.edu/ts,trio-ts-logo-sm.jpg,
2015,Volunteers in Medicine Clinic of the Cascades,10000,Bend,In support of its Cultural Competency Program,http://www.vim-cascades.org/,volunteers-in-medicine-logo.gif,
2014,Center Against Rape and Domestic Violence (CARDV),5000,Corvallis,To support its emergency shelter program,http://cardv.org/,,
2014,Casa de Belen,10000,Roseburg,To fund the residency of three homeless teens for one year,http://www.casadebelen.org/index.html,,
2014,Cascade Youth and Family Center,10000,Bend,To support the LOFT program,http://cascadeyouthandfamilycenter.org/,,
2014,Domestic Violence Services,10000,Pendleton,To support general operating expenses,http://www.domesticviolenceservices-or.org/,,
2014,Dress for Success,10000,Portland,To support general operating expenses,https://oregon.dressforsuccess.org/,,
2014,Family Building Blocks,15000,Salem,To support its Therapeutic Education program in Marion and Polk Counties,http://www.familybuildingblocks.org/,,
2014,Grant County Senior Citizens Association,14600,John Day,To replace outdated commercial ovens,,,
2014,Liberty House,10000,Salem,To partially cover the costs of funding a specially trained pediatrician,http://www.libertyhousecenter.org/,,
2014,Mid-Valley Women’s Crisis Service,5000,Salem,To purchase emergency hotel vouchers,http://www.mvwcs.com/,,
2014,Salem Harvest,4100,Salem,"To purchase equipment, and for operational costs",http://www.salemharvest.org/index.php,,
2014,Shelter Care,10000,Eugene,To support its New Start program,http://www.sheltercare.org/,,
2014,Southside Youth Outreach,8000,Corvallis,To provide scholarships for its ACES program,http://ssyocorvallis.org/,,
2014,Wheeler County Community Schools,15000,Spray,For the continuation and enhancement of its academic achievement and community school enrichment programs in Spray and Mitchell,http://www.wheelercountyschools.org/,,
2014,Willamette Academy,5000,Salem,To support general operating expenses,http://willamette.edu/community/academy/,,